brand_name,category,subcategory,website,founded_year,headquarters,description,shopify_confirmed,source,employee_count,founder_1,founder_2,founder_3,linkedin_1,linkedin_2,linkedin_3
Savette,Accessories,Bags,savette.com,2020,New York NY,Renaissance-inspired bags,Yes,Industry list,,,,,,,
Freja,Accessories,Bags,frejanewyork.com,2019,New York NY,Vegan leather bags,Yes,Industry list,,,,,,,
Polène,Accessories,Bags,polene-paris.com,2016,Paris,Architectural leather bags,Yes,Industry list,,,,,,,
Garrett Leight,Accessories,Eyewear,garrettleight.com,2010,Venice CA,California optical,Yes,Industry list,,,,,,,
Moscot,Accessories,Eyewear,moscot.com,1915,New York NY,NYC eyewear heritage,Yes,Industry list,,,,,,,
Pair Eyewear,Accessories,Eyewear,paireyewear.com,2019,New York NY,Customizable kids glasses,Yes,D2C directory,,Sophia Edelstein,Nathan Kondamuri,,https://www.linkedin.com/in/sophia-edelstein/,https://www.linkedin.com/in/nathan-kondamuri/,
Jacques Marie Mage,Accessories,Eyewear,jacquesmariemage.com,2014,Los Angeles CA,Luxury limited sunglasses,Yes,Industry list,,,,,,,
Write Notepads,Stationery,Paper Goods,writenotepads.com,2012,Baltimore MD,Sustainable notepads,Yes,Shopify features,,,,,,,
Steel Petal Press,Stationery,Paper Goods,steelpetalpress.com,2010,Chicago IL,Artisan paper goods,Yes,Industry list,,,,,,,
Dear Lola Letterpress,Stationery,Cards,dearlolaletterpress.com,2015,USA,Letterpress stationery,Yes,Industry list,,,,,,,
Moglea,Stationery,Paper Goods,moglea.com,2012,USA,Hand-painted paper goods,Yes,Industry list,,,,,,,
Rifle Paper Co.,Stationery,Paper Goods,riflepaperco.com,2009,Winter Park FL,Whimsical stationery,Yes,Industry leader,160,Anna Bond,Nathan Bond,,https://www.linkedin.com/in/rifle/,https://www.linkedin.com/search/results/all/?keywords=nathan%20bond%20rifle%20paper,
Sugar Paper,Stationery,Paper Goods,sugarpaper.com,2003,Los Angeles CA,Letterpress stationery,Yes,Industry list,,,,,,,
Appointed,Stationery,Office,appointed.co,2015,Washington DC,American-made office goods,Yes,Industry list,,,,,,,
Greer Chicago,Stationery,Curated,greerchicago.com,2008,Chicago IL,Curated stationery shop,Yes,Industry list,,,,,,,
Yoseka Stationery,Stationery,Curated,yosekastationery.com,2017,Brooklyn NY,Japanese stationery,Yes,Industry site,,,,,,,
Plum Paper,Stationery,Planners,plumpaper.com,2014,USA,Personalized planners,Yes,Industry list,,,,,,,
Collina Strada,Apparel,Sustainable,collinastrada.com,2008,New York NY,Sustainable fashion platform,Yes,Shopify store,,,,,,,
KNOWN SUPPLY,Apparel,Sustainable,knownsupply.com,2015,California,B Corp gender-neutral apparel,Yes,Industry list,,,,,,,
Happy Earth,Apparel,Sustainable,happyearthapparel.com,2015,USA,Organic eco-friendly clothing,Yes,Industry site,,,,,,,
Altar,Apparel,Alternative,shopaltarpdx.com,2011,Portland OR,Alternative indie fashion,Yes,Industry list,,,,,,,
Neu Nomads,Apparel,Sustainable,neunomads.com,2018,Brooklyn NY,Sustainable women's fashion,Yes,Industry list,,,,,,,
MATE the Label,Apparel,Sustainable,matethelabel.com,2014,Los Angeles CA,Organic cotton essentials,Yes,Industry list,,Kayti O'Connell Carr,,,https://www.linkedin.com/in/kayti-o-connell-carr-15802530/,,
Fair Indigo,Apparel,Sustainable,fairindigo.com,2006,Madison WI,Fair trade Pima cotton,Yes,Industry list,,,,,,,
Pact,Apparel,Sustainable,wearpact.com,2009,Boulder CO,Organic cotton basics,Yes,D2C leader,,,,,,,
Kotn,Apparel,Sustainable,kotn.com,2015,Toronto,Egyptian cotton basics,Yes,B Corp certified,,Rami Helali,Benjamin Sehl,Mackenzie Yeates,https://www.linkedin.com/in/rhelali/,https://www.linkedin.com/in/benjaminsehl/,https://www.linkedin.com/in/mackenzieyeates/
Toad & Co,Apparel,Outdoor,toadandco.com,1991,Santa Barbara CA,Sustainable outdoor clothing,Yes,Industry site,,,,,,,
Yes Friends,Apparel,Sustainable,yesfriends.co,2017,UK/USA,Affordable ethical fashion,Yes,Industry list,,,,,,,
Ilk + Ernie,Apparel,Sustainable,ilkandernie.com,2018,USA,Recycled fabric fashion,Yes,Industry list,,,,,,,
Goodfair,Apparel,Secondhand,goodfair.com,2018,USA,Thrift clothing bundles,Yes,Shopify features,,,,,,,
Tentree,Apparel,Sustainable,tentree.com,2012,Canada,Plants 10 trees per item,Yes,Shopify features,,Derrick Emsley,Kalen Emsley,David Luba,https://www.linkedin.com/in/derrickemsley/,https://www.linkedin.com/in/kalenemsley/,https://www.linkedin.com/in/davidluba/
Maguire Shoes,Apparel,Footwear,maguireshoes.com,2017,Montreal,Women's shoes unique designs,Yes,Shopify features,,,,,,,
Cuts,Apparel,Menswear,cutsclothing.com,2016,USA,Premium men's basics,Yes,D2C directory,,Steven Borrelli,,,https://www.linkedin.com/in/stevenborrelli/,,
Brixton,Apparel,Streetwear,brixton.com,2004,Oceanside CA,Music-inspired headwear,Yes,D2C directory,,,,,,,
American Tall,Apparel,Tall Sizing,americantall.com,2015,Toronto,Clothing for tall people,Yes,D2C directory,,,,,,,
12th Tribe,Apparel,Women's,shop12thtribe.com,2015,USA,Bohemian women's fashion,Yes,D2C directory,,,,,,,
Unique Vintage,Apparel,Vintage,unique-vintage.com,2000,Burbank CA,Vintage-inspired fashion,Yes,D2C directory,,,,,,,
Comfrt,Apparel,Loungewear,comfrtclothing.com,2019,USA,Comfortable basics,Yes,D2C directory,,,,,,,
Everlane,Apparel,Basics,everlane.com,2010,San Francisco CA,Radical transparency fashion,Yes,D2C pioneer,,Michael Preysman,,,https://www.linkedin.com/in/michael-preysman-7167b3/,,
Allbirds,Apparel,Footwear,allbirds.com,2016,San Francisco CA,Sustainable wool shoes,Yes,D2C pioneer,,Tim Brown,Joey Zwillinger,,https://www.linkedin.com/in/timpbrown/,https://www.linkedin.com/in/joeyzwillinger/,
Osborn,Apparel,Footwear,osbornshoes.com,2008,Brooklyn NY,Artisan eco-friendly shoes,Yes,Industry list,,,,,,,
Teysha,Apparel,Footwear,teysha.is,2013,Austin TX,B Corp artisan footwear,Yes,Industry list,,,,,,,
Marais USA,Apparel,Footwear,maraisusa.com,2013,Atlanta GA,American-made eco shoes,Yes,Industry list,,,,,,,
Nisolo,Apparel,Footwear,nisolo.com,2011,Nashville TN,Ethically produced shoes,Yes,Shopify store,,Patrick Woodyard,Zoe Cleary,,https://www.linkedin.com/in/patrick-woodyard-96765b21,https://www.linkedin.com/search/results/all/?keywords=zoe%20cleary%20nisolo,
CARIUMA,Apparel,Footwear,cariuma.com,2018,USA,Sustainable sneakers,Yes,Shopify store,,,,,,,
Thursday Boots,Apparel,Footwear,thursdayboots.com,2014,New York NY,Quality affordable boots,Yes,Shopify store,104,Nolan Walsh,Connor Wilson,,https://www.linkedin.com/in/nolan-walsh-98569628/,https://www.linkedin.com/in/connor-wilson-cfa/,
Thousand Fell,Apparel,Footwear,thousandfell.com,2019,USA,Circular sneakers,Yes,Industry list,,,,,,,
Rothy's,Apparel,Footwear,rothys.com,2012,San Francisco CA,Recycled bottle shoes,Yes,D2C leader,,Stephen Hawthornthwaite,Roth Martin,,https://www.linkedin.com/in/stephen-hawthornthwaite-7aa5872,https://www.linkedin.com/search/results/all/?keywords=roth%20martin%20rothys,
Indosole,Apparel,Footwear,indosole.com,2009,San Francisco CA,Recycled tire sandals,Yes,Industry list,,,,,,,
Cymbiotika,Wellness,Supplements,cymbiotika.com,2018,San Diego CA,Liposomal supplements,Yes,D2C directory,,Chervin Jafarieh,,,https://www.linkedin.com/in/chervinjafarieh/,,
Plant People,Wellness,CBD,plantpeople.co,2018,New York NY,Plant-powered wellness,Yes,D2C directory,,,,,,,
Bonafide,Wellness,Women's Health,hellobonafide.com,2018,USA,Women's health supplements,Yes,D2C directory,,,,,,,
Ultrahuman,Wellness,Wearables,ultrahuman.com,2019,India/USA,Metabolic health tracking,Yes,D2C directory,,,,,,,
Prevagen,Wellness,Brain Health,prevagen.com,2007,USA,Memory supplements,Yes,D2C directory,,,,,,,
Motion Nutrition,Wellness,Supplements,motionnutrition.com,2016,UK/USA,Natural performance supplements,Yes,D2C directory,,,,,,,
Canopy,Wellness,Humidifiers,getcanopy.co,2020,USA,Wellness humidifiers,Yes,D2C directory,,,,,,,
Vital Proteins,Wellness,Collagen,vitalproteins.com,2013,Chicago IL,Collagen supplements,Yes,D2C leader,,Kurt Seidensticker,,,https://www.linkedin.com/in/kurtseidensticker/,,
Wholier,Wellness,Supplements,wholier.com,2020,USA,Plant-based supplements,Yes,D2C directory,,,,,,,
Goli,Wellness,Supplements,goli.com,2017,USA,Apple cider vinegar gummies,Yes,D2C leader,,Michael Bitensky,,,https://www.linkedin.com/in/michaelbitensky/,,
MaryRuth Organics,Wellness,Supplements,maryruthorganics.com,2014,Los Angeles CA,Organic liquid vitamins,Yes,D2C directory,,,,,,,
Hiya Health,Wellness,Kids Vitamins,hiyahealth.com,2020,USA,Sugar-free kids vitamins,Yes,D2C directory,,Darren Litt,Adam Gillman,,https://www.linkedin.com/in/darrenlitt/,https://www.linkedin.com/in/adamgillman/,
Honest Paws,Pet,CBD,honestpaws.com,2018,USA,Pet CBD products,Yes,D2C directory,,,,,,,
Dandy,Pet,Supplements,getdandy.com,2020,USA,Custom dog supplements,Yes,D2C directory,,,,,,,
Wild One,Pet,Accessories,wildone.com,2018,New York NY,Modern pet accessories,Yes,D2C directory,50,Veronica Becchetti,Minali Chatani,Bill Wells,https://www.linkedin.com/search/results/all/?keywords=veronica%20becchetti%20wild%20one,https://www.linkedin.com/in/minalic,https://www.linkedin.com/search/results/all/?keywords=bill%20wells%20wild%20one
Fresh Patch,Pet,Grass Pads,freshpatch.com,2013,USA,Real grass dog pads,Yes,D2C directory,,,,,,,
Fi,Pet,Technology,tryfi.com,2017,New York NY,Smart dog collars,Yes,D2C directory,,,,,,,
PetLab Co.,Pet,Supplements,petlabco.com,2018,USA,Pet health supplements,Yes,D2C directory,,,,,,,
Smalls,Pet,Cat Food,smalls.com,2017,New York NY,Human-grade cat food,Yes,D2C leader,,,,,,,
Ollie,Pet,Dog Food,myollie.com,2016,New York NY,Human-grade dog food,Yes,D2C leader,,Gabby Slome,Alex Douzet,,https://www.linkedin.com/in/gabbyslome/,https://www.linkedin.com/in/alexdouzet/,
The Farmer's Dog,Pet,Dog Food,thefarmersdog.com,2014,New York NY,Fresh dog food delivery,Yes,D2C leader,,Jonathan Regev,Brett Podolsky,,https://www.linkedin.com/in/jonathan-regev-50a67b14/,https://www.linkedin.com/in/brettpodolsky/,
Nom Nom,Pet,Pet Food,nomnomnow.com,2015,Nashville TN,Fresh pet food,Yes,D2C leader,,,,,,,
Made by Nacho,Pet,Cat Food,madebynacho.com,2021,USA,Bobby Flay cat food,Yes,D2C directory,,,,,,,
Grubbly Farms,Pet,Pet Food,grubblyfarms.com,2016,Atlanta GA,Sustainable insect protein,Yes,D2C directory,,,,,,,
Native Pet,Pet,Supplements,nativepet.com,2017,USA,Dog health supplements,Yes,D2C directory,,,,,,,
Cotopaxi,Outdoor,Gear,cotopaxi.com,2014,Salt Lake City UT,Sustainable outdoor gear,Yes,D2C directory,,Davis Smith,,,https://www.linkedin.com/in/davismsmith,,
Heather's Choice,Outdoor,Food,heatherschoice.com,2014,Anchorage AK,Freeze-dried meals,Yes,Industry list,,,,,,,
Packit Gourmet,Outdoor,Food,packitgourmet.com,2010,Austin TX,Camp meals and groceries,Yes,Industry list,,,,,,,
Flowfold,Outdoor,Bags,flowfold.com,2010,Maine,USA-made bags and wallets,Yes,Industry list,,Devin McNeill,Charley Friedman,,https://www.linkedin.com/in/devinmcneill/,https://www.linkedin.com/search/results/all/?keywords=charley%20friedman%20flowfold,
Kinfield,Outdoor,Personal Care,kinfield.com,2019,USA,Outdoor personal care,Yes,D2C directory,,Nichole Powell,,,https://www.linkedin.com/in/nicholepowell/,,
BioLite,Outdoor,Energy,bioliteenergy.com,2009,Brooklyn NY,Off-grid energy products,Yes,Shopify features,,Jonathan Cedar,Alec Drummond,,https://www.linkedin.com/in/jonathanc/,https://www.linkedin.com/in/alecdrummond/,
Garage Grown Gear,Outdoor,Marketplace,garagegrowngear.com,2017,USA,Ultralight gear hub,Yes,Industry site,,,,,,,
Finn + Emma,Baby,Clothing,finnandemma.com,2012,USA,Organic baby clothes,Yes,Shopify store,,,,,,,
Monica + Andy,Baby,Clothing,monicaandandy.com,2014,Chicago IL,Organic baby clothing,Yes,Shopify store,,,,,,,
Baby Mori,Baby,Clothing,babymori.com,2015,UK/USA,Organic bamboo baby,Yes,Shopify store,,,,,,,
Huxbaby,Baby,Clothing,huxbaby.com,2014,Australia,Organic baby clothes,Yes,Shopify store,,,,,,,
Nature's Baby Organics,Baby,Personal Care,naturesbaby.com,1999,USA,Organic baby care,Yes,Industry site,,,,,,,
Makemake Organics,Baby,Bedding,makemakeorganics.com,2018,USA,Organic cotton baby,Yes,Industry list,,,,,,,
Earth Mama,Baby,Personal Care,earthmamaorganics.com,2002,Clackamas OR,Organic baby products,Yes,Industry list,,,,,,,
Hello Bello,Baby,Diapers,hellobello.com,2019,USA,Plant-based diapers,Yes,D2C directory,,Kristen Bell,Dax Shepard,,https://www.linkedin.com/search/results/all/?keywords=kristen%20bell%20hello%20bello,https://www.linkedin.com/search/results/all/?keywords=dax%20shepard%20hello%20bello,
Happiest Baby,Baby,Sleep,happiestbaby.com,2016,Los Angeles CA,SNOO smart sleeper,Yes,D2C leader,,Harvey Karp,,,https://www.linkedin.com/in/harveykarp/,,
Dryden Watch Co.,Accessories,Watches,drydenwatches.com,2018,USA,Versatile microbrand watches,Yes,Industry list,,,,,,,
Carpenter Watches,Accessories,Watches,carpenterwatches.com,2019,Brooklyn NY,Mechanical microbrands,Yes,Industry list,,,,,,,
Dufrane,Accessories,Watches,dufranewatches.com,2017,Austin TX,Texas hand-assembled,Yes,Industry list,,,,,,,
Lorier,Accessories,Watches,lorierwatches.com,2017,New York NY,Mid-century inspired,Yes,Industry list,,,,,,,
Imperial Watch Co.,Accessories,Watches,imperialwatchco.com,2019,USA,American microbrand,Yes,Industry list,,,,,,,
Oak & Oscar,Accessories,Watches,oakandoscar.com,2015,Chicago IL,Chicago microbrand,Yes,Industry list,,,,,,,
Marin Instruments,Accessories,Watches,marininstruments.com,2021,New Mexico,Modern vintage inspired,Yes,Industry list,,,,,,,
Beardbrand,Grooming,Men's,beardbrand.com,2012,Austin TX,Beard care pioneer,Yes,Shopify features,,Eric Bandholz,Lindsey Reinders,Jeremy McGee,https://www.linkedin.com/search/results/all/?keywords=eric%20bandholz%20beardbrand,https://www.linkedin.com/search/results/all/?keywords=lindsey%20reinders%20beardbrand,https://www.linkedin.com/search/results/all/?keywords=jeremy%20mcgee%20beardbrand
Pete & Pedro,Grooming,Men's,peteandpedro.com,2013,Atlanta GA,Alpha M grooming brand,Yes,D2C directory,,,,,,,
Striking Viking,Grooming,Men's,strikingviking.com,2017,USA,Premium beard tools,Yes,Industry list,,,,,,,
Supply,Grooming,Shaving,supply.co,2015,USA,Modern safety razors,Yes,D2C directory,,Patrick Coddou,Jennifer Coddou,,https://www.linkedin.com/in/patrickcoddou/,https://www.linkedin.com/search/results/all/?keywords=jennifer%20coddou%20supply,
RAZOR MD,Grooming,Shaving,razormd.com,1979,USA,Natural shave products,Yes,Industry site,,,,,,,
Bevel,Grooming,Shaving,bfrnd.co/bevel,2013,USA,BIPOC-focused grooming,Yes,D2C leader,,,,,,,
Harry's,Grooming,Shaving,harrys.com,2013,New York NY,D2C razor pioneer,Yes,D2C pioneer,,Jeff Raider,Andy Katz-Mayfield,,https://www.linkedin.com/in/jeffraider/,https://www.linkedin.com/in/andy-katz-mayfield-3a6a6a1/,
Dollar Shave Club,Grooming,Shaving,dollarshaveclub.com,2011,Venice CA,Razor subscription pioneer,Yes,D2C pioneer,,Michael Dubin,Mark Levine,,https://www.linkedin.com/in/dubinmichael/,https://www.linkedin.com/search/results/all/?keywords=mark%20levine%20dollar%20shave%20club,
Sunny Health,Fitness,Equipment,sunnyhealthfitness.com,2002,Los Angeles CA,Home fitness equipment,Yes,Shopify store,,,,,,,
Lifepro Fitness,Fitness,Recovery,lifeprofitness.com,2017,USA,Wellness recovery equipment,Yes,D2C directory,,,,,,,
Wellfit,Fitness,Treadmills,wellfit.com,2020,USA,Compact home treadmills,Yes,D2C directory,,,,,,,
Tonal,Fitness,Smart Gym,tonal.com,2015,San Francisco CA,Digital weight home gym,Yes,D2C leader,,Aly Orady,,,https://www.linkedin.com/in/alyorady/,,
TRX,Fitness,Training,trxtraining.com,2004,San Francisco CA,Suspension training,Yes,D2C leader,,,,,,,
Valor Fitness,Fitness,Strength,valorfitness.com,2006,USA,Strength equipment,Yes,Industry site,,,,,,,
Rogue Fitness,Fitness,Equipment,roguefitness.com,2006,Columbus OH,CrossFit equipment,Yes,Industry leader,,,,,,,
Peloton,Fitness,Connected,onepeloton.com,2012,New York NY,Connected fitness,Yes,D2C leader,,John Foley,Hisao Kushi,Tom Cortese,https://www.linkedin.com/in/jfpelo/,https://www.linkedin.com/in/hisaokushi/,https://www.linkedin.com/in/thomascortese/
Bowflex,Fitness,Equipment,bowflex.com,1986,USA,Home gym equipment,Yes,Industry leader,,,,,,,
Warby Parker,Eyewear,Glasses,warbyparker.com,2010,New York NY,D2C glasses pioneer,Yes,D2C pioneer,,Neil Blumenthal,Dave Gilboa,Andrew Hunt,https://www.linkedin.com/in/neilblumenthal/,https://www.linkedin.com/in/davegilboa/,https://www.linkedin.com/in/andyhuntnyc/
Casper,Sleep,Mattresses,casper.com,2014,New York NY,D2C mattress pioneer,Yes,D2C pioneer,,Philip Krim,Neil Parikh,T. Luke Sherwin,https://www.linkedin.com/in/philipkrim/,https://www.linkedin.com/in/neilparikh/,https://www.linkedin.com/in/lukesherwin/
Away,Travel,Luggage,awaytravel.com,2015,New York NY,D2C luggage brand,Yes,D2C pioneer,,Jen Rubio,Steph Korey,,https://www.linkedin.com/in/jenrubio/,https://www.linkedin.com/in/stephkorey/,
Bonobos,Apparel,Menswear,bonobos.com,2007,New York NY,Men's pants pioneer,Yes,D2C pioneer,,,,,,,
Halfday Travel,Travel,Bags,halfdaytravel.com,2019,USA,Travel bags,Yes,D2C directory,,,,,,,
Bespoke Post,Lifestyle,Subscription,bespokepost.com,2011,New York NY,Men's subscription box,Yes,D2C directory,,,,,,,
Alo Yoga,Apparel,Activewear,aloyoga.com,2007,Los Angeles CA,Luxury yoga activewear,Yes,D2C leader,,,,,,,
Outdoor Voices,Apparel,Activewear,outdoorvoices.com,2014,Austin TX,Recreation activewear,Yes,D2C leader,,Ty Haney,,,https://www.linkedin.com/in/ty-haney-a4b1561a/,,
Splits59,Apparel,Activewear,splits59.com,2008,Los Angeles CA,Versatile gym-to-street wear,Yes,Industry list,,,,,,,
Vitality,Apparel,Activewear,vitality.com,2019,USA,Body-positive activewear,Yes,Industry list,,,,,,,
Vuori,Apparel,Activewear,vuoriclothing.com,2015,Encinitas CA,California performance apparel,Yes,D2C leader,,Joe Kudla,,,https://www.linkedin.com/in/joe-kudla-6551871/,,
Tracksmith,Apparel,Running,tracksmith.com,2014,Boston MA,Running apparel for runners,Yes,D2C leader,,Matt Taylor,Luke Scheybeler,,https://www.linkedin.com/in/matttaylor1/,https://www.linkedin.com/in/lukescheybeler/,
Gymshark,Apparel,Fitness,gymshark.com,2012,UK/USA,Fitness apparel community,Yes,Shopify Plus,,,,,,,
Girlfriend Collective,Apparel,Activewear,girlfriend.com,2016,Seattle WA,Recycled activewear,Yes,D2C leader,,Ellie Dinh,Quang Dinh,,https://www.linkedin.com/search/results/all/?keywords=ellie%20dinh%20girlfriend%20collective,https://www.linkedin.com/search/results/all/?keywords=quang%20dinh%20girlfriend%20collective,
Wolven,Apparel,Activewear,wolventhreads.com,2017,USA,Sustainable printed activewear,Yes,Industry list,,,,,,,
Summersalt,Apparel,Swimwear,summersalt.com,2017,St. Louis MO,Data-driven sustainable swim,Yes,D2C leader,,Lori Coulter,Reshma Chattaram Chamberlin,,https://www.linkedin.com/in/lori-coulter/,https://www.linkedin.com/in/reshmachattaramchamberlin/,
Swamis Swimwear,Apparel,Swimwear,swamisswimwear.com,2020,San Diego CA,Sustainable retro bikinis,Yes,Industry list,,,,,,,
Indi Maya,Apparel,Swimwear,indimayaswim.com,2019,Costa Rica/USA,Biodegradable nylon swim,Yes,Industry list,,,,,,,
Dippin Daisys,Apparel,Swimwear,dippindaisys.com,2018,USA,Sustainable women's swimwear,Yes,Industry list,,,,,,,
Midori Bikinis,Apparel,Swimwear,midoribikinis.com,2016,USA,UPF50+ sustainable swim,Yes,Industry list,,,,,,,
Abysse,Apparel,Swimwear,abysseofficial.com,2018,USA,Recycled sustainable bikinis,Yes,Industry list,,,,,,,
TomboyX,Apparel,Underwear,tomboyx.com,2012,Seattle WA,Gender-neutral underwear,Yes,D2C leader,,Fran Dunaway,Naomi Gonzalez,,https://www.linkedin.com/in/frandunaway/,https://www.linkedin.com/in/naomi-gonzalez-0b83481a/,
BERLOOK,Apparel,Swimwear,berlook.com,2019,USA,Sustainable boutique swimwear,Yes,Industry list,,,,,,,
Hummingbear,Baby/Kids,Clothing,hummingbear.co,2018,USA,GOTS certified kids clothes,Yes,Industry list,,,,,,,
Goumi,Baby/Kids,Clothing,goumikids.com,2012,USA,Organic baby essentials,Yes,Industry list,,,,,,,
Mightly,Baby/Kids,Clothing,mightlykids.com,2017,USA,Organic fair trade kids,Yes,Industry list,,,,,,,
The Simple Folk,Baby/Kids,Clothing,thesimplefolk.co,2019,UK/USA,Minimalist organic family,Yes,Industry list,,,,,,,
Tealbee,Baby/Kids,Clothing,tealbee.com,2018,USA,GOTS certified baby sleepwear,Yes,Industry list,,,,,,,
Beya Made,Baby/Kids,Clothing,beyamade.com,2019,USA,US-made linen kids clothes,Yes,Industry list,,,,,,,
Dr. Squatch,Grooming,Soap,drsquatch.com,2013,Los Angeles CA,Natural soap for men,Yes,Shopify Plus (acquired 2025),,,,,,,
Meow Meow Tweet,Beauty,Body Care,meowmeowtweet.com,2009,Brooklyn NY,Organic natural body care,Yes,Shopify store,,,,,,,
Pacha Soap,Beauty,Soap,pachasoap.com,2012,Nebraska,Handmade social enterprise soap,Yes,Industry list,,,,,,,
Caswell Massey,Beauty,Body Care,caswellmassey.com,1752,USA,America's original apothecary,Yes,D2C directory,,,,,,,
RAD Soap Co,Beauty,Soap,radsoap.com,2012,USA,Natural vegan handmade soap,Yes,Industry list,,,,,,,
Bearsville Soap,Grooming,Soap,bearsvillesoaps.com,2015,USA,Natural cold process soap,Yes,Industry list,,,,,,,
Idaho Soap Company,Beauty,Soap,idahosoapcompany.com,2014,Idaho,Small batch cold process,Yes,Industry list,,,,,,,
Buff City Soap,Beauty,Soap,buffcitysoap.com,2013,USA,Plant-based handcrafted soap,Yes,Industry list,,,,,,,
Naples Soap Company,Beauty,Soap,naplessoap.com,2009,Naples FL,Natural handmade bar soaps,Yes,Industry list,,,,,,,
Bath Savvy,Beauty,Bath,bathsavvy.com,2018,USA,Luxurious natural bath products,Yes,Industry list,,,,,,,
The Sill,Home,Plants,thesill.com,2012,New York NY,Plants make people happy,Yes,D2C leader,70,Eliza Blank,,,https://www.linkedin.com/in/elizablank,,
Bloomscape,Home,Plants,bloomscape.com,2017,Detroit MI,Home-ready plants delivered,Yes,D2C leader,,Justin Mast,,,https://www.linkedin.com/in/justin-mast-5a86a3231/,,
Rooted,Home,Plants,heyrooted.com,2018,USA,Plant subscription delivery,Yes,Industry list,,,,,,,
Felt+Fat,Home,Ceramics,feltandfat.com,2013,Philadelphia PA,Premium pottery tableware,Yes,Industry list,,,,,,,
MMclay,Home,Ceramics,mmclay.com,2015,San Francisco CA,Thoughtful tableware,Yes,Shopify confirmed,,,,,,,
Heath Ceramics,Home,Ceramics,heathceramics.com,1948,Sausalito CA,Sustainably handcrafted tableware,Yes,D2C leader,,Robin Petravic,Catherine Bailey,,https://www.linkedin.com/search/results/all/?keywords=robin%20petravic%20heath%20ceramics,https://www.linkedin.com/search/results/all/?keywords=catherine%20bailey%20heath%20ceramics,
Haand,Home,Ceramics,haand.us,2012,Burlington NC,Handmade porcelain pottery,Yes,Industry list,,,,,,,
ANK Ceramics,Home,Ceramics,ankceramics.com,2010,Lincolnville ME,Handmade organic tableware,Yes,Industry list,,,,,,,
Jono Pandolfi,Home,Ceramics,jonopandolfi.com,2004,New Jersey,Restaurant-quality ceramics,Yes,Industry list,,,,,,,
Frey Vineyards,Food & Beverage,Wine,freywine.com,1980,Redwood Valley CA,First US organic winery,Yes,D2C directory,,,,,,,
Clif Family Winery,Food & Beverage,Wine,cliffamilywinery.com,2004,Napa Valley CA,Organic estate wines,Yes,Industry list,,,,,,,
Lady of the Sunshine,Food & Beverage,Wine,ladyofthesunshine.com,2018,California,Woman-owned biodynamic,Yes,Industry list,,,,,,,
Plonk Wine Club,Food & Beverage,Wine,plonkwineclub.com,2009,USA,Natural wine subscription,Yes,D2C directory,,,,,,,
Glorious Gaming,Electronics,Gaming,gloriousgaming.com,2014,USA,Gaming mice and keyboards,Yes,Shopify store,,,,,,,
LumeKeebs,Electronics,Keyboards,lumekeebs.com,2020,USA,Mechanical keyboard community,Yes,Industry list,,,,,,,
KontrolFreek,Electronics,Gaming,kontrolfreek.com,2007,Atlanta GA,Gaming controller accessories,Yes,D2C directory,,,,,,,
HYTE,Electronics,PC,hyte.com,2022,USA,Custom PC accessories,Yes,Industry list,,,,,,,
Public Goods,Home,Essentials,publicgoods.com,2017,USA,Sustainable everyday essentials,Yes,D2C leader,,Morgan Hirsh,,,https://www.linkedin.com/in/morganhirsh/,,
Brandless,Home,Essentials,brandless.com,2017,San Francisco CA,Clean affordable essentials,Yes,D2C pioneer,,,,,,,
Grove Collaborative,Home,Cleaning,grove.co,2012,San Francisco CA,Sustainable cleaning products,Yes,D2C leader,,Stuart Landesberg,,,https://www.linkedin.com/in/stuartlandesberg/,,
Blueland,Home,Cleaning,blueland.com,2019,New York NY,Reusable cleaning system,Yes,D2C leader,14,Sarah Paiji Yoo,John Mascari,,https://www.linkedin.com/in/sarahpaiji,https://www.linkedin.com/search/results/all/?keywords=john%20mascari%20blueland,
Dropps,Home,Laundry,dropps.com,2008,Philadelphia PA,Sustainable laundry pods,Yes,D2C directory,,,,,,,
Branch Basics,Home,Cleaning,branchbasics.com,2012,Minneapolis MN,Non-toxic concentrate cleaner,Yes,D2C directory,,Marilee Nelson,Allison Evans,Kelly Love,https://www.linkedin.com/search/results/all/?keywords=marilee%20nelson%20branch%20basics,https://www.linkedin.com/search/results/all/?keywords=allison%20evans%20branch%20basics,https://www.linkedin.com/search/results/all/?keywords=kelly%20love%20branch%20basics
Supernatural,Home,Cleaning,supernatural.com,2019,USA,Eco-friendly cleaning,Yes,D2C directory,,,,,,,
Primary,Baby/Kids,Clothing,primary.com,2015,New York NY,Label-free kids basics,Yes,D2C leader,,Christina Carbonell,Galyn Bernard,,https://www.linkedin.com/in/christinacarbonell/,https://www.linkedin.com/in/galynbernard/,
Spearmint Love,Baby/Kids,Clothing,spearmintlove.com,2013,USA,Trendy baby boutique,Yes,Shopify store,,,,,,,
Tea Collection,Baby/Kids,Clothing,teacollection.com,2002,San Francisco CA,Globally-inspired kids clothes,Yes,D2C directory,,,,,,,
Maisonette,Baby/Kids,Marketplace,maisonette.com,2017,New York NY,Curated kids marketplace,Yes,D2C directory,,,,,,,
Mac & Mia,Baby/Kids,Clothing,macandmia.com,2016,USA,Personalized kids styling,Yes,D2C directory,,,,,,,
Rockets of Awesome,Baby/Kids,Clothing,rocketsofawesome.com,2016,New York NY,Kids clothing subscription,Yes,D2C directory,,,,,,,
